year,author,category,title,subject,details
0,墨子 (Mozi),,The Camera Obscura,,~ 470 BC – 391 BC: 墨子 (Mozi) develops optics including what will become known as the camera obscura in the location of present-day People’s Republic of China
801,(Abu Yūsuf Yaʻqūb ibn ʼIsḥāq aṣ-Ṣabbāḥ al-Kindī),,The Camera Obscura,,"~ 801 - 873:
أبو يوسف يعقوب بن إسحاق الصبّاح الكندي
(Abu Yūsuf Yaʻqūb ibn ʼIsḥāq aṣ-Ṣabbāḥ al-Kindī) develops optics including what will become known as the camera obscura in the location of present-day Iraq"
965," أبو علي، الحسن بن الحسن بن الهيثم
(Abū ʿAlī al-Ḥasan ibn al-Ḥasan ibn al-Haytham)
",,The Camera Obscura,,"
~ 965 - 1040: أبو علي، الحسن بن الحسن بن الهيثم
(Abū ʿAlī al-Ḥasan ibn al-Ḥasan ibn al-Haytham) develops optics including what will become known as “The Camera Obscura”
in the location of present-day Iraq"
1031,沈括 (Shen Kuo or Shen Gua),,The Camera Obscura,,1031–1095: 沈括 (English Shen Kuo or Shen Gua) develops “The Camera Obscura” in the location of present-day People’s Republic of China
1744,,,,gaming,Baseball is documented as a game in the United Kingdom
1856,,,,gaming,Baseball is known as the national game of the United States of America
1882,Étienne-Jules Marey,,The Chronophotographic Gun,,"The Chronophotographic Gun, Étienne-Jules Marey"
1910,Essenay Studio,CNME,Broncho Billy Film,,Essanay Film Studio; Broncho Billy silent western film set with newly-invented lighting rig
1911,,,,,Marshall McLuhan born
1915,Essenay Studio,CNME,His New Job,,Charlie Chaplin films His New Job
1917,Marcel Duchamp,,Fountain,,"Fountain, Marcel Duchamp"
1918,The Surrealists,,Exquisite Corpse,gaming,(~1918 - ~1925) Surrealist Games
1925,John Logie Baird,,the first electro-mechanical television broadcast system,,John Logie Baird develops the first electro-mechanical television broadcast system
1927,Philo Farnsworth,,,,Philo Farnsworth develops the first fully electronic television technology including television video camera tube
1934,,,,,"Fernsehsender 'Paul Nipkow,' the first television station, begins public
broadcasts—live transmissions—in Berlin, during the Dritten Reich (Third Reich) of Nazi Germany"
1938,,,,,Stewart Brand born
1938,,,,,"DuMont Laboratories manufactures, markets and sells commercial television sets"
1938,Konrad Zuse,,Z3 Computer,,Konrad Zuse develops the Z3 Computer
1938,IIT School of Design,CNME,Curriculum and Admission Booklet,,IIT School of Design produces its Curriculum and Admission Booklet
1938,Laszlo Moholy-Nagy,CNME,,,"Documentation photos of Moholy-Nagy, School of Design’s Dearborn, Prairie and Ontario buildings and classes"
1938,Johan Huizinga,,In Homo Ludens: A Study of the Play-Element in Culture,gaming,Johan Huizinga writes In Homo Ludens: A Study of the Play-Element in Culture
1940,,,,,Radiation Laboratory - MIT (1940 - 1945) with National Defense Research Committee (NDRC); Office of Scientific Research and Development (OSRD
1942,,,,,Dan Sandin born
1942,,,,,Gene Youngblood born
1943,,,,gaming,Williams Manufacturing Company founded by Harry Williams
1943,,,,,Barb Abramo born
1944,,,,,Jane Veeder born
1945,,,,,Phil Morton born
1945,Vannevar Bush,,"""As We May Think,” The Atlantic",,Vannevar Bush writes “As We May Think” for The Atlantic Monthly
1945,,,,,"1945 - 1952, Project RAND/RAND Corporation created under special contract to the Douglas Aircraft Company"
1945,,,,,Project WHIRLWIND developed at Massachusetts Institute of Technology (MIT)
1946,,,,,"Ted Nelson identifies 1946 as the date of “the first computer” in his book, The Home Computer Revolution."
1946,Project RAND,,,,"Preliminary Design of an Experimental World-Circling Spaceship, Project RAND"
1948,RAND Corporation,,,,RAND Corporation (previously Project RAND) reformed as a private organization by the The United States Department of War
1948,IIT School of Design,CNME,Curriculum and Admissions Catalog,,IIT School of Design produces Curriculum and Admissions Catalog
1950,Williams Electronics,CNME,Lucky Inning (pinball game),gaming,"Lucky Inning (pinball game), Williams Electronics"
1951,,,,,Christine Tamblyn born
1951,,,,,Semiautomatic Ground Environment Air Defense System (SAGE) developed at Massachusetts Institute of Technology (MIT)
1951,Marshall McLuhan,,The Mechanical Bride: Folklore of Industrial Man,,Marshall McLuhan writes The Mechanical Bride: Folklore of Industrial Man
1951,St. Louis Dispatch,CNME,“New Approach to Design” and “Institute Combines Art and Technology”,,"“New Approach to Design” and “Institute Combines Art and Technology,” St. Louis Dispatch"
1955,,,,,"Resistance War Against America / The Vietnam War in Vietnam, Laos, and Cambodia (1955 - 1975)"
1957,USSR space program,,Sputnik 1,,"Sputnik 1, USSR space program"
1958,,,,,The National Aeronautics and Space Administration (NASA) established
1958,,,,gaming,"Williams Electronic Manufacturing Company, formerly Williams Manufacturing Company, renamed"
1959,,,,,FLUXUS established ~1959 - 1978
1959,,,,,PDP-1 (Programmed Data Processor-1) - Digital Equipment Corporation (DEC) (1959)
1960,University of Illinois,,PLATO,,"PLATO, University of Illinois"
1960,J.C.R. Licklider,,Man-Computer Symbiosis,,J.C.R. Licklider writes Man-Computer Symbiosis
1961,Dwight D. Eisenhower,,Eisenhower Farewell Address,,Dwight D. Eisenhower gives Farewell Address
1961,USSR space program,,,,"USSR succeeds in launching Ю́рий Алексе́евич Гага́рин (Yuri Alekseyevich Gagarin) into low Earth orbit"
1961,"Martin Graetz, Stephen Russell",,Spacewar!,gaming,"Spacewar!, Martin Graetz, Stephen Russell"
1961,,,,,Congress of Racial Equality (CORE) Freedom Rides
1962,Marshall McLuhan,,The Gutenberg Galaxy: The Making of Typographic Man,,Marshall McLuhan writes The Gutenberg Galaxy: The Making of Typographic Man
1962,,,,,The first transatlantic satellite television transmission via Telstar satellite
1962,Yoko Ono,,Instruction Pieces,,"Instruction Pieces, Yoko Ono"
1963,RAND Corporation,,The RAND Tablet,,RAND Corporation produces The RAND Tablet
1963,,,"Simulation of a Two-Gyro, Gravity-Gradient Attitude Control System",,"Simulation of a Two-Gyro, Gravity-Gradient Attitude Control System, E. E. Zajak"
1963,,,,,Marshall McLuhan’s Centre for Culture and Technology opens at The University of Toronto
1963,,,,,"John Fitzgerald Kennedy, the 35th President of the United States, assassinated on camera"
1963,Nam June Paik,,Random Access,,"Random Access, Nam June Paik"
1964,Ivan E. Sutherland,,Sketchpad: A Man-machine Graphical,,"Sketchpad: A Man-machine Graphical, Ivan E. Sutherland"
1964,Marshall McLuhan,,Understanding Media: The Extensions of Man,,"Marshall McLuhan, Understanding Media: The Extensions of Man"
1964,RAND Corporation,,GRAIL,,RAND Corporation produces GRAIL
1964,IBM,,M42 Mainframe Digital Computer with 2250 Graphic Display,,IBM develops the M42 Mainframe Digital Computer with 2250 Graphic Display
1964,,,,,The Merry Pranksters founded; later Ken Kesey and The Merry Pranksters begin the Magic Bus trip
1965,,,,,"Malcolm X, spiritual and political leader for racial justice, assassinated"
1965,Ivan E. Sutherland,,"""The Ultimate Display""",,"Ivan E. Sutherland, ""The Ultimate Display"""
1965,,,,,Alan Kay reads Gordon Moore's Law
1965,,,,,"Acid Tests - Ken Kesey, the Merry Pranksters and The Warlocks (later known as The Grateful Dead) (1965 - 1966)"
1965,,,,,Psychedelic liquid light shows performed by Bill Ham in San Francisco at The Fillmore
1965,Nam June Paik,,Magnet TV,,"Magnet TV, Nam June Paik"
1966,,,,,The Cultural Revolution - The People's Republic of China
1966,,,,,Black Panther Party founded by Bobby Seale and Huey Newton
1966,,,,,The Trips Festival with performances by The Grateful Dead
1966,,,,,"Dr. Timothy Leary announces the formation of the League for Spiritual Discovery stating,""Turn on, tune in, drop out"""
1966,,,,,Alan Kay reads Ivan E. Sutherland’s Sketchpad: A Man-machine Graphical Communications System
1966,Yoko Ono,,Play it by Trust (All White Chess Set),gaming,"Play it by Trust (All White Chess Set), Yoko Ono"
1966,,,,,Digital Equipment Corporation (DEC PDP-10
1967,Williams Electronics,,Shangri-La pinball game,gaming,"Shangri-La pinball game, Williams Electronics"
1967,Sol Lewitt ,,“Paragraphs on Conceptual Art”,,"Sol Lewitt, “Paragraphs on Conceptual Art”"
1967,SONY Corporation ,,"SONY “Video Rover"" DV-2400 Portapack",,"SONY Corporation develops the SONY “Video Rover"" DV-2400 Portapack"
1967,,,,,The Summer of Love
1967,Guy Debord ,,Society of the Spectacle (1967 - 1973),,"Guy Debord, Society of the Spectacle (1967 - 1973)"
1967,Charles Csuri,,Hummingbird,,"Hummingbird, Charles Csuri"
1967,,,,,Douglas Engelbart visits University of Utah and presents his oN-Line System (NLS); Alan Kay attends the presentation as a student
1967,"Marshall McLuhan, Quentin Fiore, and Jerome Agel",,The Medium is the Massage: An Inventory of Effects,,"Marshall McLuhan, Quentin Fiore, and Jerome Agel, The Medium is the Massage: An Inventory of Effects"
1967,,,,,"Sound?? starring Rashaan Roland Kirk and John Cage, directed by Dick Fontaine"
1967,,,,,Hughes Aircraft Company and NASA Applications Technology Satellite 3 (ATS-3) satellite photographs the Earth from space
1967,Dr. Lawrence G. Roberts ,,“Multiple Computer Networks and Intercomputer Communications”,,"Dr. Lawrence G. Roberts, “Multiple Computer Networks and Intercomputer Communications”"
1967,,,,,Sam Matsa (IBM/GM and ACM Board member) and Andy Van Dam (Brown University) organize a series of seminars on Interactive Computer Graphics
1968,,,,,"Dr. Martin Luther King Jr. and Robert Francis ""Bobby"" Kennedy assassinated"
1968,Douglas Engelbart/Stanford Research Institute ,,The Mother of All Demos,,"Douglas Engelbart/Stanford Research Institute, The Mother of All Demos"
1968,,,,,"Alan Kay conceptualizes, models, and prototypes the Dynabook personal computer in cardboard"
1968,J. C. R. Licklider and Robert W. Taylor ,,“The Computer as a Communication Device”,,"J. C. R. Licklider and Robert W. Taylor, “The Computer as a Communication Device”"
1968,,,,,"Cybernetic Serendipity: The Computer and the Arts exhibition, curated by Jasia Reichardt"
1968,,,,,ATS-3 satellite photograph of the Earth becomes the cover image of the first edition of Stewart Brand’s Whole Earth Catalog
1968,William Anders/Apollo 8,,Earthrise,,"Earthrise, William Anders/Apollo 8"
1968,"Charlotte Moorman, Nam June Paik, Les Levine, Carolee Schneemann, Terry Riley, Dick Higgins, Ken Dewey, USCO, Aldo Tambellini, and others",,Intermedia ’68: A Festival for New York State,,Intermedia ’68: A Festival for New York State
